vid,tmstmp,lat,lon,hdg,rt,des,spd,tablockid,tripid,blk
0890,20250617 11:46:50,33.88382,-118.30836,267,U,,17,N/A,,
2011,20250617 11:46:58,33.904695,-118.310435,1,U,,0,N/A,,
0842,20250617 11:46:55,33.91628,-118.30879,8,U,,0,N/A,,
2007,20250617 11:46:32,33.904043333333334,-118.31016166666669,87,U,,0,N/A,,
2401,20250617 11:46:46,33.904286666666664,-118.31046166666665,359,U,,0,N/A,,
0845,20250617 11:46:45,33.94542,-118.37536,90,U,,0,N/A,,
0889,20250617 11:47:00,33.90912,-118.3174,190,U,,0,N/A,,
1602,20250617 11:46:48,33.887386666666664,-118.34427499999998,89,U,,8,N/A,,
1601,20250617 11:46:51,33.91146166666667,-118.317755,1,U,,16,N/A,,
2316,20250617 11:46:42,33.904691666666665,-118.310195,359,U,,0,N/A,,
2313,20250617 11:46:56,33.88019030926231,-118.30421665339729,182,1X,Harbor Fwy Station > Redondo Beach Station,15,11X,661020.0,102.0
2302,20250617 11:46:52,33.88158587470751,-118.29150782027804,88,1X,Redondo Beach Station > Harbor Fwy Station,0,21X,533020.0,902.0
2312,20250617 11:46:53,33.788719,-118.297449,359,2,Kaiser Hospital >> Kaiser Hospital,0,82,203020.0,3102.0
2015,20250617 11:46:48,33.873066273890544,-118.30916057773238,0,2,Kaiser Hospital >> Kaiser Hospital,15,112,776020.0,702.0
2319,20250617 11:46:39,33.93088360996297,-118.30898034489374,0,2,Kaiser Hospital >> Kaiser Hospital,11,52,286020.0,2502.0
2010,20250617 11:47:00,33.88922199136682,-118.29192966800531,178,2,Kaiser Hospital >> Kaiser Hospital,0,102,763020.0,602.0
2406,20250617 11:46:40,33.790555000000005,-118.29739999999998,0,2,Kaiser Hospital >> Kaiser Hospital,0,12,252020.0,202.0
2009,20250617 11:46:49,33.799463165416114,-118.29748586533793,356,2,Kaiser Hospital >> Kaiser Hospital,35,122,375020.0,802.0
2317,20250617 11:46:49,33.86766776758139,-118.28948873956755,240,2,Kaiser Hospital >> Kaiser Hospital,0,72,545020.0,2702.0
2014,20250617 11:46:35,33.92541457447276,-118.29156763300736,359,2,Kaiser Hospital >> Kaiser Hospital,24,62,777020.0,2602.0
2314,20250617 11:46:57,33.880311175337845,-118.30927059917875,195,2,Kaiser Hospital >> Kaiser Hospital,3,92,743020.0,3202.0
2318,20250617 11:46:39,33.83542613525368,-118.30909897727933,203,2,Kaiser Hospital >> Kaiser Hospital,18,42,384020.0,2202.0
2307,20250617 11:46:50,33.78718333333334,-118.29741333333335,0,2,Kaiser Hospital >> Kaiser Hospital,0,22,432020.0,1002.0
2404,20250617 11:46:51,33.88557651548622,-118.31826860690197,68,3,South Bay Galleria >> MLK Transit Center,0,13,98020.0,302.0
2018,20250617 11:46:42,33.89566865670506,-118.22034397203359,354,3,South Bay Galleria >> MLK Transit Center,9,43,709020.0,2302.0
2006,20250617 11:46:45,33.89235146237192,-118.29614114582601,266,3,MLK Transit Center >> South Bay Galleria,25,23,19020.0,1102.0
2320,20250617 11:46:44,33.868201666666664,-118.35762666666666,100,3,MLK Transit Center >> South Bay Galleria,0,33,369020.0,1502.0
2310,20250617 11:46:55,33.94267849991985,-118.3784915166851,179,5,LAX Transit Center >> Willowbrook / Rosa,6,35,50020.0,1702.0
2004,20250617 11:46:50,33.91643005694889,-118.28925719609586,89,5,LAX Transit Center >> Willowbrook / Rosa,23,25,731020.0,1302.0
2311,20250617 11:47:02,33.916438556323484,-118.30650975991789,271,5,Willowbrook / Rosa Park Station >> LAX TC,0,15,3020.0,502.0
2308,20250617 11:46:51,33.923170451434146,-118.37845895706728,359,5,Willowbrook / Rosa Park Station >> LAX TC,19,45,40020.0,2402.0
